cpu_id,oid,snap,osize,oseq,offset,length,truncate_size,truncate_seq
 2 ," ""100000005fb.00000000""", 18446744073709551614, 0, 0, 0, 1772, 0, 0 
 2 ," ""100000005fc.00000000""", 18446744073709551614, 0, 0, 0, 1086, 0, 0 
 2 ," ""100000005fd.00000000""", 18446744073709551614, 0, 0, 0, 2244, 0, 0 
 2 ," ""100000005fe.00000000""", 18446744073709551614, 0, 0, 0, 655, 0, 0 
 2 ," ""100000005ff.00000000""", 18446744073709551614, 0, 0, 0, 876, 0, 0 
 3 ," ""10000000600.00000000""", 18446744073709551614, 0, 0, 0, 431, 0, 0 
 2 ," ""10000000601.00000000""", 18446744073709551614, 0, 0, 0, 423, 0, 0 
 1 ," ""10000000602.00000000""", 18446744073709551614, 0, 0, 0, 794, 0, 0 
 1 ," ""10000000603.00000000""", 18446744073709551614, 0, 0, 0, 1829, 0, 0 
 1 ," ""10000000604.00000000""", 18446744073709551614, 0, 0, 0, 1359, 0, 0 
 1 ," ""10000000605.00000000""", 18446744073709551614, 0, 0, 0, 1215, 0, 0 
 3 ," ""10000000606.00000000""", 18446744073709551614, 0, 0, 0, 2068, 0, 0 
 3 ," ""10000000607.00000000""", 18446744073709551614, 0, 0, 0, 1454, 0, 0 
 0 ," ""10000000608.00000000""", 18446744073709551614, 0, 0, 0, 736, 0, 0 
 0 ," ""10000000609.00000000""", 18446744073709551614, 0, 0, 0, 832, 0, 0 
 2 ," ""1000000060a.00000000""", 18446744073709551614, 0, 0, 0, 3191, 0, 0 
 3 ," ""1000000060b.00000000""", 18446744073709551614, 0, 0, 0, 102, 0, 0 
 1 ," ""1000000060c.00000000""", 18446744073709551614, 0, 0, 0, 1835, 0, 0 
 0 ," ""1000000060d.00000000""", 18446744073709551614, 0, 0, 0, 801, 0, 0 
 1 ," ""1000000060e.00000000""", 18446744073709551614, 0, 0, 0, 1503, 0, 0 
 0 ," ""1000000060f.00000000""", 18446744073709551614, 0, 0, 0, 1341, 0, 0 
 0 ," ""10000000610.00000000""", 18446744073709551614, 0, 0, 0, 198, 0, 0 
 0 ," ""10000000611.00000000""", 18446744073709551614, 0, 0, 0, 364, 0, 0 
 1 ," ""10000000612.00000000""", 18446744073709551614, 0, 0, 0, 551, 0, 0 
 3 ," ""10000000613.00000000""", 18446744073709551614, 0, 0, 0, 868, 0, 0 
 3 ," ""10000000614.00000000""", 18446744073709551614, 0, 0, 0, 1205, 0, 0 
 3 ," ""10000000615.00000000""", 18446744073709551614, 0, 0, 0, 679, 0, 0 
 2 ," ""10000000616.00000000""", 18446744073709551614, 0, 0, 0, 1351, 0, 0 
 2 ," ""10000000617.00000000""", 18446744073709551614, 0, 0, 0, 1517, 0, 0 
 2 ," ""10000000618.00000000""", 18446744073709551614, 0, 0, 0, 861, 0, 0 
 2 ," ""10000000619.00000000""", 18446744073709551614, 0, 0, 0, 352, 0, 0 
 1 ," ""1000000061a.00000000""", 18446744073709551614, 0, 0, 0, 1612, 0, 0 
 1 ," ""1000000061b.00000000""", 18446744073709551614, 0, 0, 0, 305, 0, 0 
 3 ," ""1000000061c.00000000""", 18446744073709551614, 0, 0, 0, 620, 0, 0 
 3 ," ""1000000061d.00000000""", 18446744073709551614, 0, 0, 0, 447, 0, 0 
 3 ," ""1000000061e.00000000""", 18446744073709551614, 0, 0, 0, 1463, 0, 0 
 0 ," ""1000000061f.00000000""", 18446744073709551614, 0, 0, 0, 365, 0, 0 
 0 ," ""10000000620.00000000""", 18446744073709551614, 0, 0, 0, 715, 0, 0 
 0 ," ""10000000621.00000000""", 18446744073709551614, 0, 0, 0, 1058, 0, 0 
 2 ," ""10000000622.00000000""", 18446744073709551614, 0, 0, 0, 444, 0, 0 
 0 ," ""10000000623.00000000""", 18446744073709551614, 0, 0, 0, 101, 0, 0 
