cpu_id,oid,snap,op,opname,flags
 0 ," ""10000000609.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""1000000060a.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""1000000060b.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""1000000060c.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""1000000060d.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""1000000060e.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""1000000060f.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000610.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000611.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""10000000612.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""10000000613.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""10000000614.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""10000000615.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000616.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000617.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000618.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000619.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""1000000061a.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""1000000061b.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""1000000061c.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""1000000061d.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""1000000061e.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""1000000061f.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000620.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000621.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000622.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000623.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000624.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000625.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000626.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000627.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000628.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000629.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""1000000062a.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""1000000062b.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""1000000062c.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""1000000062d.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""1000000062e.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""1000000062f.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000630.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000631.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""10000000632.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""10000000633.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000634.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000635.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000636.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000637.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000638.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000639.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""1000000063a.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""1000000063b.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
